Alabama,AL,Montgomery,Birmingham,"December 14, 1819",4833722,"52,420 (135,767)","50,645 (131,170)","1,775 (4,597)",7
Alaska,AK,Juneau,Anchorage,"January 3, 1959",735132,"665,384 (1,723,337)","570,641 (1,477,950)","94,743 (245,383)",1
Arizona,AZ,Phoenix,Phoenix,"February 14, 1912",6626624,"113,990 (295,233)","113,594 (294,207)","396 (1,026)",9
Arkansas,AR,Little Rock,Little Rock,"June 15, 1836",2959373,"53,179 (137,733)","52,035 (134,770)","1,143 (2,960)",4
California,CA,Sacramento,Los Angeles,"September 9, 1850",38332521,"163,695 (423,968)","155,779 (403,466)","7,916 (20,502)",53
Colorado,CO,Denver,Denver,"August 1, 1876",5268367,"104,094 (269,602)","103,642 (268,432)","452 (1,171)",7
Connecticut,CT,Hartford,Bridgeport,"January 9, 1788",3596080,"5,543 (14,356)","4,842 (12,541)","701 (1,816)",5
Delaware,DE,Dover,Wilmington,"December 7, 1787",925749,"2,489 (6,446)","1,949 (5,048)","540 (1,399)",1
Florida,FL,Tallahassee,Jacksonville,"March 3, 1845",19552860,"65,758 (170,312)","53,625 (138,888)","12,133 (31,424)",27
Georgia,GA,Atlanta,Atlanta,"January 2, 1788",9992167,"59,425 (153,910)","57,513 (148,958)","1,912 (4,950)",14
Hawaii,HI,Honolulu,Honolulu,"August 21, 1959",1404054,"10,932 (28,314)","6,423 (16,635)","4,509 (11,678)",2
Idaho,ID,Boise,Boise,"July 3, 1890",1612136,"83,569 (216,443)","82,643 (214,044)","926 (2,398)",2
Illinois,IL,Springfield,Chicago,"December 3, 1818",12882135,"57,914 (149,997)","55,519 (143,794)","2,395 (6,203)",18
Indiana,IN,Indianapolis,Indianapolis,"December 11, 1816",6570902,"36,420 (94,327)","35,826 (92,789)","593 (1,536)",9
Iowa,IA,Des Moines,Des Moines,"December 28, 1846",3090416,"56,273 (145,746)","55,857 (144,669)","416 (1,077)",4
Kansas,KS,Topeka,Wichita,"January 29, 1861",2893957,"82,278 (213,099)","81,759 (211,755)","520 (1,347)",4
Kentucky[D],KY,Frankfort,Louisville,"June 1, 1792",4395295,"40,408 (104,656)","39,486 (102,268)","921 (2,385)",6
Louisiana,LA,Baton Rouge,New Orleans,"April 30, 1812",4625470,"52,378 (135,658)","43,204 (111,898)","9,174 (23,761)",6
Maine,ME,Augusta,Portland,"March 15, 1820",1328302,"35,380 (91,634)","30,843 (79,883)","4,537 (11,751)",2
Maryland,MD,Annapolis,Baltimore,"April 28, 1788",5928814,"12,406 (32,131)","9,707 (25,141)","2,699 (6,990)",8
Massachusetts[E],MA,Boston,Boston,"February 6, 1788",6692824,"10,554 (27,335)","7,800 (20,202)","2,754 (7,133)",9
Michigan,MI,Lansing,Detroit,"January 26, 1837",9895622,"96,714 (250,488)","56,539 (146,435)","40,175 (104,053)",14
Minnesota,MN,St. Paul,Minneapolis,"May 11, 1858",5420380,"86,936 (225,163)","79,627 (206,233)","7,309 (18,930)",8
Mississippi,MS,Jackson,Jackson,"December 10, 1817",2991207,"48,432 (125,438)","46,923 (121,530)","1,509 (3,908)",4
Missouri,MO,Jefferson City,Kansas City,"August 10, 1821",6021988,"69,707 (180,540)","68,742 (178,041)","965 (2,499)",8
Montana,MT,Helena,Billings,"November 8, 1889",1015165,"147,040 (380,832)","145,546 (376,962)","1,494 (3,869)",1
Nebraska,NE,Lincoln,Omaha,"March 1, 1867",1868516,"77,348 (200,330)","76,824 (198,973)","524 (1,357)",3
Nevada,NV,Carson City,Las Vegas,"October 31, 1864",2790136,"110,572 (286,380)","109,781 (284,331)","791 (2,049)",4
New Hampshire,NH,Concord,Manchester,"June 21, 1788",1323459,"9,349 (24,214)","8,953 (23,188)","397 (1,028)",2
New Jersey,NJ,Trenton,Newark,"December 18, 1787",8899339,"8,723 (22,592)","7,354 (19,047)","1,368 (3,543)",12
New Mexico,NM,Santa Fe,Albuquerque,"January 6, 1912",2085287,"121,590 (314,917)","121,298 (314,160)",292 (756),3
New York,NY,Albany,New York,"July 26, 1788",19651127,"54,555 (141,297)","47,126 (122,056)","7,429 (19,241)",27
North Carolina,NC,Raleigh,Charlotte,"November 21, 1789",9848060,"53,819 (139,391)","48,618 (125,920)","5,201 (13,471)",13
North Dakota,ND,Bismarck,Fargo,"November 2, 1889",723393,"70,698 (183,107)","69,001 (178,712)","1,698 (4,398)",1
Ohio,OH,Columbus,Columbus,"March 1, 1803",11570808,"44,826 (116,099)","40,861 (105,830)","3,965 (10,269)",16
Oklahoma,OK,Oklahoma City,Oklahoma City,"November 16, 1907",3850568,"69,899 (181,038)","68,595 (177,660)","1,304 (3,377)",5
Oregon,OR,Salem,Portland,"February 14, 1859",3930065,"98,379 (254,800)","95,988 (248,608)","2,391 (6,193)",5
Pennsylvania[F],PA,Harrisburg,Philadelphia,"December 12, 1787",12773801,"46,054 (119,279)","44,743 (115,884)","1,312 (3,398)",18
Rhode Island[G],RI,Providence,Providence,"May 29, 1790",1051511,"1,545 (4,002)","1,034 (2,678)","511 (1,320)",2
South Carolina,SC,Columbia,Columbia,"May 23, 1788",4774839,"32,020 (82,931)","30,061 (77,858)","1,960 (5,076)",7
South Dakota,SD,Pierre,Sioux Falls,"November 2, 1889",844877,"77,116 (199,730)","75,811 (196,350)","1,305 (3,380)",1
Tennessee,TN,Nashville,Memphis,"June 1, 1796",6495978,"42,144 (109,152)","41,235 (106,798)","909 (2,354)",9
Texas,TX,Austin,Houston,"December 29, 1845",26448193,"268,596 (695,660)","261,232 (676,588)","7,365 (19,075)",36
Utah,UT,Salt Lake City,Salt Lake City,"January 4, 1896",2900872,"84,897 (219,882)","82,170 (212,819)","2,727 (7,063)",4
Vermont,VT,Montpelier,Burlington,"March 4, 1791",626630,"9,616 (24,905)","9,217 (23,872)","400 (1,036)",1
Virginia[H],VA,Richmond,Virginia Beach,"June 25, 1788",8260405,"42,775 (110,787)","39,490 (102,279)","3,285 (8,508)",11
Washington,WA,Olympia,Seattle,"November 11, 1889",6971406,"71,298 (184,661)","66,456 (172,120)","4,842 (12,541)",10
West Virginia,WV,Charleston,Charleston,"June 20, 1863",1854304,"24,230 (62,755)","24,038 (62,258)",192 (497),3
Wisconsin,WI,Madison,Milwaukee,"May 29, 1848",5742713,"65,496 (169,634)","54,158 (140,269)","11,339 (29,368)",8
Wyoming,WY,Cheyenne,Cheyenne,"July 10, 1890",582658,"97,813 (253,335)","97,093 (251,470)","720 (1,865)",1